State,District,Crop_Year,Soil_Type,pH_Level,Organic_Carbon_%,Fertility_Level
Maharashtra,Nagpur,2020,Black,5.88,0.84,Medium
Maharashtra,Pune,2023,Alluvial,5.85,0.66,Low
Andhra Pradesh,Guntur,2018,Red,6.48,1.14,Low
Karnataka,Belgaum,2020,Alluvial,7.92,0.42,Medium
Tamil Nadu,Thanjavur,2021,Alluvial,6.18,0.88,Medium
Karnataka,Belgaum,2020,Loamy,7.68,0.33,Medium
Andhra Pradesh,Prakasam,2022,Red,6.8,0.4,High
Maharashtra,Nagpur,2018,Black,6.26,0.7,Medium
Maharashtra,Aurangabad,2015,Alluvial,7.15,1.07,High
Tamil Nadu,Madurai,2021,Loamy,7.67,0.72,Medium
Punjab,Patiala,2017,Red,7.8,0.73,Medium
Tamil Nadu,Coimbatore,2020,Black,6.51,0.92,Low
Andhra Pradesh,Krishna,2016,Clay,7.05,0.48,Low
Andhra Pradesh,Krishna,2023,Clay,5.93,1.13,High
Tamil Nadu,Madurai,2015,Clay,6.08,0.32,Low
Karnataka,Raichur,2020,Red,6.76,0.45,Low
Tamil Nadu,Thanjavur,2020,Clay,7.52,0.85,Medium
Telangana,Warangal,2019,Alluvial,5.54,0.98,Medium
Telangana,Adilabad,2019,Loamy,7.47,0.46,High
Punjab,Amritsar,2015,Black,7.53,1.09,Medium
Punjab,Patiala,2019,Alluvial,6.7,0.81,Low
Maharashtra,Nagpur,2016,Loamy,6.94,0.34,Medium
Maharashtra,Aurangabad,2021,Loamy,6.27,0.79,Medium
Telangana,Warangal,2017,Red,7.27,0.44,Medium
Karnataka,Belgaum,2018,Red,6.18,0.78,Low
Telangana,Warangal,2017,Alluvial,7.81,1.03,Low
Andhra Pradesh,Krishna,2017,Alluvial,5.51,0.6,Low
Telangana,Nizamabad,2018,Clay,6.14,0.78,High
Telangana,Adilabad,2019,Alluvial,6.24,0.62,Medium
Karnataka,Belgaum,2015,Alluvial,6.09,0.62,Medium
Andhra Pradesh,Guntur,2018,Black,5.51,0.68,High
Karnataka,Mandya,2022,Black,6.45,0.43,Low
Tamil Nadu,Madurai,2021,Black,7.42,0.75,High
Telangana,Adilabad,2023,Clay,5.71,0.35,High
Tamil Nadu,Coimbatore,2019,Red,7.86,0.5,Low
Maharashtra,Nagpur,2018,Black,6.77,0.94,Low
Andhra Pradesh,Prakasam,2022,Red,5.61,1.16,Low
Karnataka,Raichur,2023,Alluvial,7.32,1.14,Medium
Punjab,Amritsar,2021,Clay,6.24,0.35,Medium
Andhra Pradesh,Guntur,2021,Alluvial,6.97,0.97,Low
Andhra Pradesh,Prakasam,2019,Loamy,7.14,0.78,Medium
Tamil Nadu,Madurai,2018,Black,5.88,0.51,Medium
Punjab,Amritsar,2015,Loamy,6.53,0.76,Medium
Maharashtra,Pune,2021,Red,7.67,0.33,High
Maharashtra,Nagpur,2015,Red,6.13,0.31,Medium
Punjab,Amritsar,2015,Black,6.74,0.35,Medium
Maharashtra,Pune,2019,Red,6.22,0.34,Medium
Andhra Pradesh,Prakasam,2023,Black,5.62,0.76,High
Punjab,Ludhiana,2020,Black,5.85,0.33,High
Telangana,Nizamabad,2017,Clay,6.73,1.18,Medium
Telangana,Nizamabad,2017,Clay,7.32,0.42,High
Andhra Pradesh,Prakasam,2021,Red,7.67,0.99,Low
Telangana,Warangal,2020,Clay,5.77,0.75,Medium
Karnataka,Belgaum,2023,Alluvial,7.36,0.56,Low
Karnataka,Belgaum,2020,Red,6.09,0.34,High
Telangana,Adilabad,2019,Loamy,6.74,0.91,Low
Maharashtra,Pune,2021,Clay,7.55,0.61,Medium
Telangana,Adilabad,2015,Red,6.21,0.36,High
Maharashtra,Aurangabad,2021,Red,6.15,0.5,Medium
Telangana,Nizamabad,2017,Alluvial,7.91,0.94,High
Maharashtra,Nagpur,2023,Red,7.34,0.76,Medium
Telangana,Nizamabad,2020,Alluvial,5.79,0.99,Medium
Andhra Pradesh,Krishna,2023,Clay,5.7,1.19,Medium
Tamil Nadu,Madurai,2019,Alluvial,7.24,1.01,High
Tamil Nadu,Thanjavur,2021,Clay,6.78,1.12,High
Andhra Pradesh,Prakasam,2018,Clay,6.49,0.57,High
Andhra Pradesh,Krishna,2021,Clay,6.06,0.77,Low
Tamil Nadu,Madurai,2015,Alluvial,6.81,0.55,Medium
Karnataka,Raichur,2021,Loamy,7.97,0.88,Low
Telangana,Nizamabad,2022,Loamy,5.74,0.59,High
Maharashtra,Aurangabad,2019,Red,7.49,0.51,Low
Punjab,Ludhiana,2016,Red,5.68,0.99,High
Telangana,Nizamabad,2019,Red,7.57,0.39,Medium
Tamil Nadu,Coimbatore,2020,Red,5.57,0.43,High
Punjab,Patiala,2016,Clay,6.1,0.92,Low
Karnataka,Mandya,2020,Alluvial,7.34,0.77,Low
Tamil Nadu,Coimbatore,2020,Red,7.16,0.89,Medium
Telangana,Nizamabad,2015,Red,6.89,0.65,Low
Andhra Pradesh,Guntur,2015,Alluvial,7.78,0.88,Low
Karnataka,Raichur,2017,Alluvial,7.31,0.41,Medium
Tamil Nadu,Thanjavur,2017,Clay,6.89,0.65,Medium
Tamil Nadu,Madurai,2018,Red,7.87,0.36,Medium
Telangana,Warangal,2016,Black,6.24,0.44,Low
Telangana,Nizamabad,2023,Loamy,5.79,0.59,Medium
Maharashtra,Pune,2021,Alluvial,6.65,0.88,High
Tamil Nadu,Coimbatore,2021,Black,6.5,0.96,High
Karnataka,Raichur,2020,Loamy,7.81,0.39,Medium
Karnataka,Mandya,2017,Red,6.8,0.64,Low
Punjab,Patiala,2020,Red,6.64,0.92,Low
Tamil Nadu,Coimbatore,2022,Red,7.57,0.37,Low
Punjab,Patiala,2022,Red,6.72,0.8,Medium
Telangana,Warangal,2023,Alluvial,8.0,1.01,High
Punjab,Patiala,2015,Alluvial,6.66,1.02,Medium
Telangana,Adilabad,2015,Black,5.95,0.58,Medium
Tamil Nadu,Thanjavur,2017,Clay,7.2,1.12,High
Maharashtra,Aurangabad,2017,Loamy,6.87,0.87,Low
Telangana,Nizamabad,2022,Loamy,5.52,0.49,Low
Karnataka,Mandya,2015,Black,6.42,0.42,Medium
Maharashtra,Aurangabad,2016,Loamy,6.69,0.37,Medium
Karnataka,Belgaum,2016,Black,5.5,1.16,Medium
Karnataka,Mandya,2017,Alluvial,7.54,0.68,High
Punjab,Patiala,2020,Red,5.93,0.67,High
Tamil Nadu,Coimbatore,2015,Alluvial,7.19,0.7,Low
Andhra Pradesh,Guntur,2016,Red,5.64,0.78,Low
Tamil Nadu,Thanjavur,2015,Loamy,7.2,0.91,Medium
Maharashtra,Nagpur,2019,Loamy,7.73,0.76,High
Punjab,Patiala,2021,Red,6.87,0.76,High
Telangana,Nizamabad,2022,Loamy,7.68,1.09,Low
Punjab,Patiala,2015,Red,6.9,0.62,Medium
Maharashtra,Aurangabad,2021,Clay,6.7,0.51,Low
Maharashtra,Pune,2019,Alluvial,6.13,0.37,Medium
Tamil Nadu,Thanjavur,2015,Clay,5.78,0.93,Low
Karnataka,Belgaum,2017,Clay,6.84,0.74,Low
Punjab,Ludhiana,2021,Black,7.59,0.33,High
Andhra Pradesh,Prakasam,2015,Red,7.93,1.01,Medium
Tamil Nadu,Madurai,2021,Clay,7.04,0.35,High
Tamil Nadu,Madurai,2019,Loamy,6.31,0.73,Low
Telangana,Nizamabad,2015,Red,7.92,1.12,High
Tamil Nadu,Madurai,2015,Red,5.61,0.93,Low
Karnataka,Belgaum,2015,Red,7.25,0.57,High
Maharashtra,Aurangabad,2023,Black,7.54,0.85,Low
Telangana,Warangal,2017,Alluvial,7.54,1.19,Low
Tamil Nadu,Coimbatore,2019,Loamy,7.5,0.55,Medium
Karnataka,Mandya,2023,Red,7.47,0.6,Medium
Andhra Pradesh,Guntur,2020,Red,6.65,0.37,Medium
Punjab,Ludhiana,2023,Alluvial,5.77,0.47,High
Andhra Pradesh,Guntur,2022,Red,6.1,0.41,High
Telangana,Adilabad,2022,Red,5.97,0.8,Low
Maharashtra,Pune,2015,Loamy,7.66,0.44,Low
Telangana,Nizamabad,2023,Alluvial,6.49,0.58,Medium
Karnataka,Mandya,2020,Black,6.06,0.32,Low
Telangana,Nizamabad,2023,Red,5.66,0.8,Low
Maharashtra,Nagpur,2017,Loamy,7.04,0.35,Low
Andhra Pradesh,Guntur,2017,Black,6.2,0.45,Medium
Tamil Nadu,Madurai,2020,Black,5.74,0.65,High
Karnataka,Mandya,2023,Red,5.71,0.75,High
Andhra Pradesh,Krishna,2021,Loamy,7.44,0.91,High
Karnataka,Belgaum,2017,Alluvial,7.94,0.42,Medium
Tamil Nadu,Madurai,2017,Black,7.31,0.3,High
Telangana,Warangal,2016,Black,7.35,1.08,Low
Tamil Nadu,Coimbatore,2023,Alluvial,5.7,0.66,Low
Andhra Pradesh,Krishna,2017,Alluvial,5.87,0.78,High
Karnataka,Mandya,2019,Clay,5.87,0.47,Medium
Telangana,Nizamabad,2023,Loamy,6.25,0.91,Low
Punjab,Amritsar,2022,Alluvial,7.27,0.89,Medium
Telangana,Nizamabad,2016,Red,5.83,0.97,Medium
Karnataka,Belgaum,2017,Loamy,6.02,0.31,Low
Andhra Pradesh,Guntur,2016,Alluvial,6.29,1.14,Medium
Karnataka,Raichur,2022,Clay,6.8,0.42,Medium
Tamil Nadu,Madurai,2020,Red,6.61,0.33,Low
Maharashtra,Nagpur,2020,Clay,6.7,1.0,Medium
Punjab,Ludhiana,2023,Loamy,6.71,0.8,Medium
Karnataka,Mandya,2022,Red,7.52,0.4,Low
Tamil Nadu,Coimbatore,2018,Alluvial,5.71,0.87,Medium
Andhra Pradesh,Prakasam,2018,Clay,7.74,1.0,Low
Maharashtra,Nagpur,2023,Loamy,5.93,0.82,Medium
Andhra Pradesh,Guntur,2015,Loamy,7.42,0.77,Low
Telangana,Warangal,2016,Red,7.84,1.17,Low
Telangana,Nizamabad,2016,Black,5.59,1.14,Medium
Karnataka,Mandya,2020,Alluvial,7.27,0.65,Low
Andhra Pradesh,Guntur,2018,Black,6.17,1.04,Medium
Punjab,Patiala,2017,Black,7.44,0.67,Low
Telangana,Warangal,2017,Clay,6.81,0.47,Low
Andhra Pradesh,Krishna,2017,Loamy,5.86,0.55,High
Maharashtra,Aurangabad,2020,Black,7.7,0.42,Medium
Tamil Nadu,Thanjavur,2022,Red,7.32,0.44,High
Andhra Pradesh,Krishna,2021,Red,7.5,0.44,Medium
Maharashtra,Pune,2018,Clay,6.77,0.78,Low
Punjab,Ludhiana,2018,Loamy,6.34,0.91,Low
Punjab,Amritsar,2016,Clay,6.67,0.48,High
Tamil Nadu,Coimbatore,2015,Alluvial,6.17,0.56,Medium
Maharashtra,Pune,2023,Clay,7.25,0.79,Low
Maharashtra,Aurangabad,2016,Loamy,6.96,1.12,Low
Tamil Nadu,Madurai,2022,Red,7.96,0.66,High
Telangana,Nizamabad,2023,Alluvial,7.77,0.73,Medium
Maharashtra,Aurangabad,2018,Alluvial,7.08,0.79,Medium
Maharashtra,Aurangabad,2022,Alluvial,6.69,0.38,Low
Maharashtra,Nagpur,2023,Red,6.06,0.3,Medium
Karnataka,Belgaum,2019,Red,7.22,0.44,High
Maharashtra,Aurangabad,2021,Black,6.89,0.72,Medium
Telangana,Adilabad,2018,Clay,6.18,0.45,Medium
Andhra Pradesh,Prakasam,2015,Loamy,6.89,0.41,Low
Telangana,Nizamabad,2017,Red,5.74,0.64,Low
Andhra Pradesh,Prakasam,2019,Red,6.95,0.51,Low
Telangana,Adilabad,2017,Red,7.55,0.73,Low
Tamil Nadu,Thanjavur,2021,Loamy,6.68,0.91,Low
Punjab,Ludhiana,2023,Black,6.68,1.1,High
Karnataka,Raichur,2020,Clay,7.67,0.55,Medium
Punjab,Ludhiana,2015,Alluvial,6.96,0.43,Medium
Maharashtra,Nagpur,2021,Black,6.88,1.04,High
Punjab,Amritsar,2017,Black,6.14,0.55,High
Karnataka,Mandya,2019,Clay,7.66,0.44,High
Tamil Nadu,Thanjavur,2018,Red,6.92,0.72,Medium
Punjab,Amritsar,2019,Red,6.29,1.14,Low
Punjab,Patiala,2019,Loamy,7.11,1.01,Low
Punjab,Patiala,2020,Alluvial,7.75,0.34,Medium
Maharashtra,Aurangabad,2020,Clay,7.98,0.46,Medium
Karnataka,Belgaum,2022,Clay,7.93,0.5,High
Telangana,Warangal,2022,Alluvial,6.89,0.31,High
Andhra Pradesh,Krishna,2023,Loamy,6.86,0.96,Low
Tamil Nadu,Madurai,2022,Clay,6.24,0.3,Medium
Telangana,Adilabad,2016,Loamy,7.53,1.11,Medium
Tamil Nadu,Madurai,2015,Loamy,6.92,0.76,Medium
Tamil Nadu,Coimbatore,2016,Black,6.24,1.13,High
Telangana,Warangal,2016,Red,5.59,0.41,High
Maharashtra,Nagpur,2017,Red,6.71,0.7,Low
Tamil Nadu,Thanjavur,2021,Clay,6.4,1.15,High
Karnataka,Raichur,2016,Black,6.3,0.51,Low
Telangana,Nizamabad,2015,Loamy,6.72,0.59,Medium
Telangana,Nizamabad,2020,Loamy,7.14,0.85,Low
Karnataka,Raichur,2023,Red,6.42,0.82,Low
Punjab,Ludhiana,2017,Clay,6.27,0.76,High
Maharashtra,Nagpur,2020,Black,6.92,0.48,Medium
Maharashtra,Pune,2017,Red,6.11,0.91,High
Andhra Pradesh,Prakasam,2015,Red,6.44,0.7,Medium
Karnataka,Mandya,2019,Alluvial,7.82,0.57,Low
Karnataka,Belgaum,2018,Black,6.37,0.87,High
Andhra Pradesh,Guntur,2021,Black,6.02,0.94,Low
Karnataka,Belgaum,2020,Clay,6.24,0.65,Medium
Tamil Nadu,Coimbatore,2021,Red,6.41,0.3,Low
Andhra Pradesh,Krishna,2019,Loamy,7.56,1.15,Medium
Punjab,Ludhiana,2018,Alluvial,5.51,0.58,High
Karnataka,Belgaum,2021,Alluvial,7.44,0.58,High
Tamil Nadu,Thanjavur,2021,Loamy,6.23,0.35,High
Punjab,Ludhiana,2020,Alluvial,7.94,0.79,Medium
Telangana,Adilabad,2022,Alluvial,7.17,0.32,High
Karnataka,Raichur,2018,Red,6.57,1.09,High
Maharashtra,Aurangabad,2019,Loamy,7.45,0.88,High
Maharashtra,Pune,2018,Clay,6.28,0.38,Low
Karnataka,Mandya,2015,Clay,6.88,1.12,Low
Telangana,Adilabad,2022,Black,7.97,1.09,High
Telangana,Nizamabad,2015,Clay,5.9,0.82,High
Tamil Nadu,Thanjavur,2019,Clay,5.51,0.93,Low
Maharashtra,Aurangabad,2020,Clay,6.01,1.16,High
Tamil Nadu,Coimbatore,2020,Alluvial,6.76,0.51,High
Punjab,Amritsar,2019,Loamy,6.32,0.54,Low
Andhra Pradesh,Prakasam,2017,Loamy,7.26,0.52,Low
Maharashtra,Nagpur,2019,Red,7.79,1.02,High
Karnataka,Belgaum,2022,Black,5.87,0.43,High
Telangana,Warangal,2016,Red,6.79,0.68,Medium
Tamil Nadu,Thanjavur,2020,Clay,6.76,0.49,High
Tamil Nadu,Thanjavur,2023,Clay,7.09,0.4,Medium
Tamil Nadu,Madurai,2022,Loamy,5.94,0.86,High
Andhra Pradesh,Prakasam,2022,Black,5.69,0.53,Medium
Maharashtra,Aurangabad,2022,Loamy,5.75,0.52,High
Telangana,Nizamabad,2021,Clay,6.54,0.57,Low
Tamil Nadu,Madurai,2022,Black,5.96,1.05,Medium
Telangana,Warangal,2020,Black,7.23,0.72,Low
Andhra Pradesh,Krishna,2016,Black,6.02,0.95,High
Maharashtra,Aurangabad,2016,Alluvial,6.21,1.1,Low
Tamil Nadu,Thanjavur,2022,Black,7.48,0.63,Medium
Andhra Pradesh,Krishna,2015,Clay,5.83,0.91,High
Andhra Pradesh,Krishna,2020,Alluvial,6.15,0.4,High
Karnataka,Belgaum,2020,Clay,5.64,0.66,Low
Tamil Nadu,Thanjavur,2018,Red,5.58,0.57,Medium
Telangana,Adilabad,2017,Black,6.52,0.55,Low
Maharashtra,Pune,2017,Clay,5.95,0.75,High
Telangana,Warangal,2015,Red,7.26,0.77,Low
Tamil Nadu,Coimbatore,2017,Clay,6.53,0.3,Medium
Karnataka,Belgaum,2018,Loamy,6.4,0.35,Low
Maharashtra,Pune,2019,Red,7.35,0.74,High
Andhra Pradesh,Guntur,2017,Black,7.03,0.31,Medium
Maharashtra,Nagpur,2020,Clay,6.51,0.39,Low
Punjab,Ludhiana,2019,Loamy,7.83,0.96,Low
Punjab,Patiala,2017,Loamy,6.74,0.66,Low
Maharashtra,Nagpur,2020,Clay,6.88,0.69,Medium
Karnataka,Mandya,2020,Red,7.63,0.52,Medium
Maharashtra,Nagpur,2022,Red,5.71,0.4,Medium
Andhra Pradesh,Guntur,2016,Red,5.86,0.36,Low
Punjab,Amritsar,2015,Clay,7.0,0.54,High
Andhra Pradesh,Prakasam,2018,Black,5.66,1.04,Medium
Tamil Nadu,Madurai,2021,Clay,6.3,0.54,Medium
Karnataka,Raichur,2017,Red,6.5,0.61,Low
Maharashtra,Nagpur,2017,Loamy,6.6,1.16,Low
Andhra Pradesh,Prakasam,2019,Clay,7.76,0.88,Low
Andhra Pradesh,Krishna,2019,Alluvial,5.95,0.94,Low
Telangana,Warangal,2017,Loamy,7.1,1.11,Medium
Karnataka,Raichur,2023,Alluvial,6.62,1.08,Medium
Karnataka,Mandya,2018,Red,7.13,0.92,Low
Punjab,Ludhiana,2017,Black,5.6,0.45,High
Andhra Pradesh,Prakasam,2016,Black,7.12,0.95,Low
Karnataka,Belgaum,2023,Clay,6.55,0.92,High
Punjab,Amritsar,2018,Loamy,7.57,1.19,High
Maharashtra,Aurangabad,2017,Red,6.15,1.2,Medium
Telangana,Nizamabad,2021,Red,7.77,0.36,High
Telangana,Adilabad,2022,Black,5.74,0.37,High
Andhra Pradesh,Prakasam,2016,Loamy,6.96,0.7,Low
Maharashtra,Pune,2021,Red,6.18,0.97,High
Tamil Nadu,Thanjavur,2019,Alluvial,7.94,0.55,High
Maharashtra,Pune,2019,Black,6.52,0.77,Low
Tamil Nadu,Madurai,2017,Loamy,7.91,1.2,Medium
Telangana,Nizamabad,2019,Alluvial,7.87,0.34,Low
Punjab,Patiala,2016,Red,7.82,0.99,Low
Maharashtra,Aurangabad,2018,Clay,7.64,0.68,Medium
Maharashtra,Pune,2020,Loamy,6.49,0.52,Low
Karnataka,Raichur,2015,Alluvial,5.91,0.6,Low
Maharashtra,Nagpur,2018,Alluvial,7.65,0.7,High
Tamil Nadu,Coimbatore,2020,Red,7.98,0.97,High
Punjab,Patiala,2023,Loamy,6.16,0.66,High
Maharashtra,Nagpur,2016,Red,7.28,1.18,Low
Punjab,Patiala,2021,Black,7.4,0.35,High
Maharashtra,Aurangabad,2020,Red,6.37,0.69,Medium
Maharashtra,Nagpur,2016,Loamy,6.23,0.78,High
Maharashtra,Nagpur,2022,Alluvial,5.76,0.49,Low
Karnataka,Raichur,2021,Clay,6.41,1.08,Medium
Telangana,Adilabad,2019,Clay,6.69,0.61,Medium
Telangana,Nizamabad,2019,Loamy,7.42,0.67,High
Maharashtra,Aurangabad,2021,Black,7.74,1.0,Medium
Maharashtra,Pune,2023,Clay,6.81,0.89,High
Tamil Nadu,Thanjavur,2023,Black,6.38,0.41,High
Andhra Pradesh,Guntur,2023,Black,7.05,0.83,Medium
Telangana,Adilabad,2020,Alluvial,7.98,1.1,Medium
Andhra Pradesh,Krishna,2020,Clay,6.27,1.1,High
Andhra Pradesh,Krishna,2017,Loamy,7.21,1.04,Low
Punjab,Amritsar,2015,Alluvial,7.53,0.84,High
Andhra Pradesh,Krishna,2021,Black,7.95,0.79,Medium
Andhra Pradesh,Guntur,2018,Loamy,7.52,0.4,Medium
Tamil Nadu,Thanjavur,2015,Black,5.74,1.15,Low
Karnataka,Belgaum,2022,Red,7.38,0.83,Medium
Andhra Pradesh,Prakasam,2020,Black,6.56,1.2,Medium
Andhra Pradesh,Krishna,2020,Clay,6.87,0.89,Low
Karnataka,Belgaum,2016,Black,7.9,0.39,High
Andhra Pradesh,Krishna,2015,Loamy,7.03,0.68,Low
Andhra Pradesh,Prakasam,2016,Loamy,5.7,0.37,Low
Karnataka,Raichur,2018,Loamy,7.71,1.0,Medium
Andhra Pradesh,Prakasam,2016,Black,6.96,1.16,Low
Karnataka,Raichur,2015,Red,7.64,0.99,Medium
Tamil Nadu,Coimbatore,2021,Alluvial,7.86,0.58,High
Andhra Pradesh,Prakasam,2022,Clay,7.44,0.81,Medium
Karnataka,Belgaum,2020,Alluvial,6.03,0.56,Medium
Punjab,Ludhiana,2018,Black,7.38,1.1,Medium
Maharashtra,Pune,2020,Red,5.51,0.99,High
Maharashtra,Pune,2017,Red,7.02,0.56,Low
Telangana,Nizamabad,2022,Red,6.65,0.38,High
Karnataka,Mandya,2016,Red,6.66,0.53,Medium
Tamil Nadu,Thanjavur,2019,Black,7.8,0.88,Medium
Punjab,Ludhiana,2015,Clay,6.89,0.53,Low
Tamil Nadu,Thanjavur,2020,Loamy,5.79,0.85,High
Andhra Pradesh,Krishna,2016,Black,7.91,0.82,High
Karnataka,Mandya,2018,Red,6.87,0.71,Low
Maharashtra,Aurangabad,2020,Red,7.27,0.65,Medium
Andhra Pradesh,Krishna,2022,Loamy,6.37,0.78,High
Telangana,Nizamabad,2022,Loamy,7.67,0.86,Medium
Telangana,Warangal,2020,Loamy,6.69,0.93,High
Andhra Pradesh,Guntur,2018,Alluvial,7.36,0.41,Low
Telangana,Adilabad,2022,Clay,6.1,0.53,Low
Karnataka,Mandya,2022,Clay,7.41,0.68,High
Andhra Pradesh,Guntur,2015,Red,7.8,0.76,High
Punjab,Patiala,2018,Clay,7.07,0.88,Medium
Telangana,Warangal,2018,Alluvial,5.57,0.44,High
Andhra Pradesh,Guntur,2021,Loamy,6.48,1.11,Low
Maharashtra,Pune,2021,Alluvial,7.04,0.97,High
Tamil Nadu,Thanjavur,2022,Clay,7.78,0.7,Medium
Telangana,Warangal,2019,Clay,6.71,0.79,High
Andhra Pradesh,Guntur,2021,Alluvial,7.58,0.47,Medium
Tamil Nadu,Madurai,2022,Red,7.07,0.91,Low
Andhra Pradesh,Krishna,2023,Black,6.52,1.02,Low
Maharashtra,Nagpur,2017,Red,5.55,0.9,Low
Karnataka,Belgaum,2017,Alluvial,5.87,1.01,High
Maharashtra,Aurangabad,2018,Black,6.24,0.85,High
Tamil Nadu,Coimbatore,2019,Black,6.26,0.59,High
Andhra Pradesh,Krishna,2015,Clay,7.41,0.49,Low
Andhra Pradesh,Prakasam,2021,Black,6.02,0.91,Medium
Andhra Pradesh,Guntur,2023,Clay,7.52,0.76,Low
Telangana,Adilabad,2022,Clay,6.74,0.31,Medium
Punjab,Patiala,2019,Alluvial,7.4,1.09,Medium
Punjab,Ludhiana,2018,Red,7.28,0.31,Medium
Punjab,Amritsar,2021,Red,7.09,0.74,Low
Karnataka,Mandya,2019,Loamy,6.68,1.12,Low
Telangana,Warangal,2021,Loamy,6.51,1.19,Medium
Telangana,Warangal,2015,Black,6.45,0.47,Low
Maharashtra,Pune,2015,Alluvial,6.12,1.1,Medium
Tamil Nadu,Coimbatore,2017,Black,6.37,0.32,Low
Maharashtra,Nagpur,2016,Alluvial,7.69,0.69,High
Andhra Pradesh,Krishna,2016,Red,5.75,0.69,High
Maharashtra,Nagpur,2021,Red,6.88,0.96,Low
Punjab,Patiala,2016,Loamy,7.53,0.41,Medium
Maharashtra,Pune,2018,Loamy,7.56,0.47,Medium
Karnataka,Mandya,2016,Alluvial,7.15,0.37,Medium
Andhra Pradesh,Guntur,2020,Alluvial,6.48,0.75,High
Punjab,Ludhiana,2022,Loamy,7.91,0.9,High
Telangana,Nizamabad,2018,Clay,6.72,0.99,High
Karnataka,Belgaum,2019,Red,5.74,0.42,High
Telangana,Nizamabad,2018,Red,6.21,0.55,High
Karnataka,Raichur,2017,Loamy,5.65,1.16,High
Telangana,Adilabad,2019,Loamy,7.95,0.57,High
Punjab,Patiala,2023,Red,7.24,0.69,Low
Tamil Nadu,Thanjavur,2022,Loamy,7.16,0.65,Medium
Telangana,Warangal,2022,Red,6.63,0.92,Medium
Telangana,Adilabad,2022,Clay,6.63,0.7,Low
Karnataka,Mandya,2022,Black,7.76,1.1,Low
Maharashtra,Nagpur,2021,Black,7.83,0.65,High
Karnataka,Raichur,2022,Alluvial,7.55,0.49,High
Andhra Pradesh,Guntur,2022,Loamy,6.78,0.59,Medium
Punjab,Amritsar,2022,Black,5.59,0.71,Low
Karnataka,Mandya,2021,Alluvial,6.76,0.36,Low
Karnataka,Mandya,2015,Red,5.78,0.44,Medium
Tamil Nadu,Coimbatore,2018,Alluvial,7.92,0.95,Low
Punjab,Patiala,2018,Red,7.43,0.47,High
Andhra Pradesh,Prakasam,2019,Alluvial,6.96,0.74,Medium
Maharashtra,Pune,2020,Red,6.92,0.71,High
Karnataka,Raichur,2018,Red,7.4,0.75,Low
Telangana,Adilabad,2016,Alluvial,7.23,0.52,Medium
Andhra Pradesh,Guntur,2020,Clay,5.77,0.4,High
Punjab,Ludhiana,2022,Loamy,6.7,0.6,Medium
Telangana,Nizamabad,2022,Red,8.0,0.66,Medium
Karnataka,Mandya,2021,Black,7.27,0.97,Low
Tamil Nadu,Coimbatore,2020,Loamy,6.61,0.63,Medium
Telangana,Nizamabad,2016,Clay,7.77,1.1,Low
Maharashtra,Aurangabad,2021,Alluvial,6.25,0.93,High
Andhra Pradesh,Prakasam,2019,Clay,7.19,0.69,Low
Punjab,Ludhiana,2020,Clay,7.46,0.77,Low
Telangana,Nizamabad,2022,Alluvial,6.28,0.36,Low
Punjab,Patiala,2022,Loamy,6.85,0.4,Medium
Maharashtra,Nagpur,2017,Black,5.97,1.08,Medium
Maharashtra,Aurangabad,2021,Loamy,5.69,0.59,High
Punjab,Amritsar,2015,Red,5.54,1.19,Medium
Maharashtra,Pune,2015,Red,7.55,0.33,Medium
Andhra Pradesh,Krishna,2021,Loamy,5.83,0.64,Medium
Maharashtra,Pune,2023,Clay,6.11,0.85,High
Andhra Pradesh,Krishna,2021,Loamy,6.7,0.93,High
Karnataka,Belgaum,2019,Black,6.0,0.4,High
Karnataka,Raichur,2022,Black,7.14,0.45,Medium
Tamil Nadu,Madurai,2016,Red,7.48,0.78,High
Punjab,Patiala,2023,Black,7.69,0.71,Low
Telangana,Warangal,2020,Red,5.8,0.7,Medium
Tamil Nadu,Madurai,2023,Black,6.1,0.62,Low
Telangana,Adilabad,2016,Black,5.94,0.62,Low
Telangana,Adilabad,2017,Alluvial,7.16,0.83,Low
Telangana,Nizamabad,2022,Alluvial,7.03,0.94,Medium
Tamil Nadu,Coimbatore,2015,Clay,6.28,0.89,High
Punjab,Ludhiana,2021,Clay,7.5,0.8,Low
Tamil Nadu,Thanjavur,2021,Clay,6.45,0.64,High
Maharashtra,Nagpur,2015,Clay,6.77,0.67,Medium
Maharashtra,Aurangabad,2023,Red,6.05,0.81,High
Tamil Nadu,Coimbatore,2022,Loamy,6.19,0.43,Low
Punjab,Amritsar,2018,Clay,7.68,0.78,Low
Maharashtra,Nagpur,2019,Black,7.53,0.63,Low
Telangana,Nizamabad,2016,Clay,7.28,0.42,High
Andhra Pradesh,Prakasam,2023,Loamy,7.73,0.46,High
Maharashtra,Pune,2020,Clay,6.34,0.84,High
Andhra Pradesh,Krishna,2017,Red,6.71,0.75,High
Andhra Pradesh,Guntur,2021,Black,7.33,1.15,Low
Telangana,Warangal,2023,Loamy,7.54,0.95,Low
Maharashtra,Nagpur,2017,Loamy,7.75,0.33,Medium
Punjab,Patiala,2016,Red,7.78,0.95,Medium
Punjab,Ludhiana,2021,Red,6.08,0.52,High
Maharashtra,Aurangabad,2021,Clay,5.56,0.59,Low
Andhra Pradesh,Prakasam,2018,Clay,7.14,0.9,Medium
